date,time_et,event,post5_ticks,base5_ticks,ratio,n_trd,spike_confirmed,pinning,contaminated
2023-01-06,08:30,NFP,28.0,4.0,7.0,2580,True,first_friday,False
2023-01-12,08:30,CPI,61.0,4.0,15.2,4523,True,midmonth_max_spike,False
2023-02-03,08:30,NFP,43.0,2.0,21.5,4210,True,first_friday,False
2023-02-14,08:30,CPI,55.0,3.0,18.3,5708,True,midmonth_max_spike,False
2023-03-10,08:30,NFP,33.0,5.0,6.6,4269,True,friday+1,False
2023-03-14,08:30,CPI,35.0,6.5,5.4,3948,True,midmonth_max_spike,False
2023-04-07,08:30,NFP,27.0,2.0,13.5,1431,True,first_friday,False
2023-04-12,08:30,CPI,29.0,3.5,8.3,3366,True,midmonth_max_spike,False
2023-05-05,08:30,NFP,29.0,2.0,14.5,3218,True,first_friday,False
2023-05-10,08:30,CPI,20.0,3.0,6.7,3329,True,midmonth_max_spike,True
2023-06-02,08:30,NFP,18.0,3.0,6.0,2504,True,first_friday,False
2023-06-13,08:30,CPI,43.0,3.0,14.3,3375,True,midmonth_max_spike,False
2023-07-07,08:30,NFP,18.0,4.0,4.5,3172,True,first_friday,False
2023-07-12,08:30,CPI,21.0,3.0,7.0,2997,True,midmonth_max_spike,True
2023-08-04,08:30,NFP,37.0,3.0,12.3,3188,True,first_friday,False
2023-08-10,08:30,CPI,25.0,3.0,8.3,2792,True,midmonth_max_spike,False
2023-09-01,08:30,NFP,28.0,3.0,9.3,2976,True,first_friday,False
2023-09-13,08:30,CPI,32.0,2.5,12.8,3315,True,midmonth_max_spike,True
2023-10-06,08:30,NFP,43.0,4.0,10.8,5208,True,first_friday,False
2023-10-12,08:30,CPI,24.0,4.5,5.3,2680,True,midmonth_max_spike,False
2023-11-03,08:30,NFP,26.0,3.0,8.7,3946,True,first_friday,False
2023-11-14,08:30,CPI,62.0,3.0,20.7,4979,True,midmonth_max_spike,False
2023-12-08,08:30,NFP,37.0,3.0,12.3,4813,True,friday+1,False
2023-12-12,08:30,CPI,29.0,2.0,14.5,3230,True,midmonth_max_spike,False
2024-01-05,08:30,NFP,26.0,4.0,6.5,3336,True,first_friday,False
2024-01-11,08:30,CPI,55.0,2.5,22.0,4366,True,midmonth_max_spike,False
2024-02-02,08:30,NFP,31.0,4.0,7.8,5789,True,first_friday,False
2024-02-13,08:30,CPI,82.0,3.0,27.3,4274,True,midmonth_max_spike,False
2024-03-08,08:30,NFP,39.0,2.5,15.6,5360,True,friday+1,False
2024-03-12,08:30,CPI,23.0,2.0,11.5,4382,True,midmonth_max_spike,False
2024-04-05,08:30,NFP,36.0,2.0,18.0,4428,True,first_friday,False
2024-04-10,08:30,CPI,63.0,2.0,31.5,7076,True,midmonth_max_spike,False
2024-05-03,08:30,NFP,43.0,3.0,14.3,5840,True,first_friday,False
2024-05-15,08:30,CPI,42.0,2.0,21.0,4283,True,midmonth_max_spike,False
