date,type,surprise,big,contaminated,move_ticks,gross_net_dollars_1t
2023-01-06,NFP,23.0,0,0,-14.0000,-472.75
2023-01-12,CPI,0.1,1,0,1.0000,-4.00
2023-02-01,FOMC,-1.0,1,0,34.0000,1027.25
2023-02-03,NFP,330.0,1,0,28.0000,839.75
2023-02-14,CPI,0.1,1,0,30.0000,902.25
2023-03-10,NFP,86.0,1,0,-14.0000,-472.75
2023-03-14,CPI,0.1,1,0,13.0000,371.00
2023-03-22,FOMC,-1.0,1,0,-3.0000,-129.00
2023-04-07,NFP,-2.0,0,0,7.0000,183.50
2023-05-03,FOMC,-1.0,1,0,-11.0000,-379.00
2023-05-05,NFP,73.0,0,0,5.0000,121.00
2023-06-02,NFP,149.0,1,0,-0.0000,-35.25
2023-06-14,FOMC,1.0,1,0,-11.0000,-379.00
2023-07-07,NFP,-31.0,0,0,-24.0000,-785.25
2023-07-12,CPI,-0.1,1,1,0.0000,-35.25
2023-08-04,NFP,-13.0,0,0,24.0000,714.75
2023-09-01,NFP,17.0,0,0,26.0000,777.25
2023-09-13,CPI,0.1,1,1,-12.0000,-410.25
2023-09-20,FOMC,1.0,1,0,-1.0000,-66.50
2023-10-06,NFP,166.0,1,0,1.0000,-4.00
2023-11-01,FOMC,-1.0,1,0,3.0000,58.50
2023-11-03,NFP,-20.0,0,0,27.0000,808.50
2023-11-14,CPI,-0.1,1,0,27.0000,808.50
2023-12-08,NFP,9.0,0,0,-19.0000,-629.00
2023-12-13,FOMC,-1.0,1,0,25.0000,746.00
2024-01-05,NFP,46.0,0,0,-11.0000,-379.00
2024-01-31,FOMC,1.0,1,0,8.0000,214.75
2024-02-02,NFP,168.0,1,0,22.0000,652.25
2024-02-13,CPI,0.1,1,0,-3.0000,-129.00
2024-03-08,NFP,77.0,0,0,5.0000,121.00
2024-03-12,CPI,0.1,1,0,17.0000,496.00
2024-03-20,FOMC,-1.0,1,0,-8.0000,-285.25
2024-04-05,NFP,103.0,1,0,-6.0000,-222.75
2024-04-10,CPI,0.1,1,0,-8.0000,-285.25
2024-05-01,FOMC,-1.0,1,0,3.0000,58.50
2024-05-03,NFP,-65.0,0,0,-12.0000,-410.25
2024-06-07,NFP,82.0,1,0,-2.0000,-97.75
2024-06-12,CPI,-0.1,1,1,2.0000,27.25
2024-06-12,FOMC,1.0,1,1,4.0000,89.75
2024-07-05,NFP,6.0,0,0,5.0000,121.00
2024-07-11,CPI,-0.1,1,0,1.0000,-4.00
2024-07-31,FOMC,-1.0,1,0,2.0000,27.25
2024-08-02,NFP,-71.0,0,0,-21.0000,-691.50
2024-09-06,NFP,-19.0,0,0,-27.0000,-879.00
2024-09-11,CPI,0.1,1,1,-0.0000,-35.25
2024-10-04,NFP,104.0,1,0,8.0000,214.75
2024-10-10,CPI,0.1,1,0,14.0000,402.25
2024-11-01,NFP,-88.0,1,0,-5.0000,-191.50
2024-12-06,NFP,13.0,0,0,-17.0000,-566.50
2024-12-18,FOMC,1.0,1,0,20.0000,589.75
2025-01-10,NFP,101.0,1,0,-5.0000,-191.50
2025-01-15,CPI,-0.1,1,1,19.0000,558.50
2025-01-29,FOMC,1.0,1,0,-9.0000,-316.50
2025-02-07,NFP,-26.0,0,0,-5.0000,-191.50
2025-02-12,CPI,0.1,1,0,7.0000,183.50
2025-03-07,NFP,-19.0,0,0,2.0000,27.25
2025-03-12,CPI,-0.1,1,0,-4.0000,-160.25
2025-03-19,FOMC,-1.0,1,0,18.0000,527.25
2025-05-02,NFP,44.0,0,0,7.0000,183.50
2025-05-13,CPI,-0.1,1,1,4.0000,89.75
2025-06-06,NFP,14.0,0,0,7.0000,183.50
2025-06-11,CPI,-0.2,1,0,8.0000,214.75
2025-07-15,CPI,-0.1,1,1,-10.0000,-347.75
2025-07-30,FOMC,1.0,1,0,11.0000,308.50
2025-08-01,NFP,-27.0,0,0,29.0000,871.00
2025-09-05,NFP,-53.0,0,0,19.0000,558.50
